,precision,recall,f1-score,support
0,0.8171296296296297,0.9527665317139001,0.8797507788161993,741.0
1,0.9774629748873149,0.905727923627685,0.9402291731186125,1676.0
accuracy,0.9201489449731072,0.9201489449731072,0.9201489449731072,0.9201489449731072
macro avg,0.8972963022584723,0.9292472276707926,0.9099899759674059,2417.0
weighted avg,0.9283082339539492,0.9201489449731072,0.9216878035786505,2417.0
