,precision,recall,f1-score,support
0,0.5,0.008097165991902834,0.01593625498007968,741.0
1,0.6943866943866944,0.9964200477326969,0.8184268561627053,1676.0
accuracy,0.6934215970211005,0.6934215970211005,0.6934215970211005,0.6934215970211005
macro avg,0.5971933471933473,0.5022586068622998,0.41718155557139247,2417.0
weighted avg,0.6347919320612743,0.6934215970211005,0.572400569246559,2417.0
