,precision,recall,f1-score,support
0,0.3333333333333333,0.5506072874493927,0.4152671755725191,741.0
1,0.7208717518860017,0.513126491646778,0.5995120250958522,1676.0
accuracy,0.5246172941663219,0.5246172941663219,0.5246172941663219,0.5246172941663219
macro avg,0.5271025426096675,0.5318668895480854,0.5073896003341857,2417.0
weighted avg,0.6020608424331564,0.5246172941663219,0.5430265333719011,2417.0
