,precision,recall,f1-score,support
0,0.7823204419889502,0.9554655870445344,0.8602673147023087,741.0
1,0.9781746031746031,0.8824582338902148,0.9278544542032622,1676.0
accuracy,0.9048407116259827,0.9048407116259827,0.9048407116259827,0.9048407116259827
macro avg,0.8802475225817767,0.9189619104673746,0.8940608844527854,2417.0
weighted avg,0.9181299472215336,0.9048407116259827,0.9071336969131477,2417.0
